hidden nodes,regularization hyperparameter,training accuracy,validation accuracy,test accuracy,time taken
4,0,48.443999999999996,46.550000000000004,47.53,47.20585060119629
4,5,69.312,67.53,69.38,80.06104969978333
4,10,74.754,73.38,74.42999999999999,27.393914699554443
4,15,45.678000000000004,44.31,44.78,31.816077709197998
4,20,71.83800000000001,70.57,72.1,38.992669105529785
4,25,64.506,62.55,64.28,44.06930470466614
4,30,36.578,34.64,36.18,42.87465190887451
4,35,61.626000000000005,59.43000000000001,60.77,46.072736978530884
4,40,44.694,42.86,44.800000000000004,42.19660806655884
4,45,58.230000000000004,56.589999999999996,58.4,43.360984802246094
4,50,60.3,58.48,60.309999999999995,30.701648712158203
4,55,73.67,72.91,73.15,32.980034589767456
8,0,86.924,86.24000000000001,86.92999999999999,44.25818085670471
8,5,89.322,88.92,89.03999999999999,29.63812279701233
8,10,83.044,81.78999999999999,82.45,48.34454560279846
8,15,84.30199999999999,84.06,84.87,41.18701195716858
8,20,88.332,87.8,88.68,48.331515312194824
8,25,87.744,86.78,87.52,52.34130311012268
8,30,88.386,88.02,88.57000000000001,46.08831334114075
8,35,89.774,89.14999999999999,89.94,46.52148985862732
8,40,89.18199999999999,88.67,88.77000000000001,46.948999643325806
8,45,88.22,87.4,88.16000000000001,49.57012462615967
8,50,84.748,83.85000000000001,85.06,38.8906774520874
8,55,90.392,89.92,90.5,45.678239583969116
12,0,92.188,91.5,91.83,49.59195923805237
12,5,90.482,89.71000000000001,90.42,48.21581554412842
12,10,91.96,90.92,91.63,46.37701964378357
12,15,92.27,91.75999999999999,91.94,42.090285778045654
12,20,92.396,91.82000000000001,92.06,46.32941436767578
12,25,91.252,90.7,91.18,47.50617432594299
12,30,91.402,90.81,91.45,44.32982587814331
12,35,91.952,91.21000000000001,92.16,48.146519899368286
12,40,91.876,91.4,91.71000000000001,46.908618211746216
12,45,92.144,91.51,92.31,47.909685134887695
12,50,91.692,91.4,91.61,35.15825009346008
12,55,91.57,91.03999999999999,91.62,47.270750999450684
16,0,91.81,91.10000000000001,92.02,32.145711183547974
16,5,92.686,92.21000000000001,92.63,41.59665608406067
16,10,93.488,92.77,93.11,48.56020641326904
16,15,92.882,92.30000000000001,92.19000000000001,45.34817862510681
16,20,92.664,92.09,92.4,45.62140512466431
16,25,92.726,91.78,92.5,39.21674418449402
16,30,92.46600000000001,92.23,92.53,30.9136164188385
16,35,92.552,91.95,92.27,38.60242462158203
16,40,92.57600000000001,92.2,92.43,32.12075996398926
16,45,92.19800000000001,91.75999999999999,92.03,38.25988817214966
16,50,92.42,92.13,92.39,47.58130431175232
16,55,92.034,91.79,92.01,33.4011070728302
20,0,93.702,93.24,93.37,30.937811374664307
20,5,93.768,93.28999999999999,93.11,42.08233642578125
20,10,93.67,93.13,93.26,59.34225153923035
20,15,93.646,92.97999999999999,93.21000000000001,61.33502197265625
20,20,93.47,93.08999999999999,93.28999999999999,67.70073676109314
20,25,93.206,92.75999999999999,93.03,58.46356558799744
20,30,93.4,92.73,93.14,56.1220805644989
20,35,93.14,92.93,92.94,37.770100831985474
20,40,92.792,92.47999999999999,92.5,43.91611099243164
20,45,93.474,93.21000000000001,93.27,47.78054451942444
20,50,92.96,92.38,92.74,56.38994383811951
20,55,92.866,92.46,92.72,58.734981060028076
